제목,일자,컨디션,기술,기업이름
Python application & Algorithm 개발자,~ 10/03(목),"서울전체
경력 2~10년
석사↑
정규직","Python, 딥러닝, Linux, 머신러닝, 데이터분석가 외 등록일 24/09/04","(주)메디픽셀
기업정보"
"[AI디지털플랫폼팀]웹개발자(Python, React, 경력 5년 이상) 경력직 채용",~ 10/18(금),"서울전체
경력 5~15년
학력무관
정규직","Python, 솔루션, 머신러닝, 웹개발, 백엔드/서버개발 외 등록일 24/09/13","(주)이노룰스
기업정보"
소프트웨어 개발 (Java&Python) 신입 및 경력 모집,,"서울 강남구
신입
대졸↑
정규직","Python, Java, 솔루션, 웹개발, 앱개발 외 수정일 24/09/20","마인드원(주)
기업정보"
[국비무료IT취업]자바파이썬/웹개발/빅데이터/인공지능,~ 10/08(화),"서울전체
경력무관
학력무관
교육생","Python, Java, AWS, 솔루션, 웹개발 외 수정일 24/09/20","(사)한국아이씨티기술협회
기업정보"
Python 개발자 채용,~ 09/25(수),"서울 서초구
경력무관
대졸↑
정규직","Python, Java, 데이터분석가, 데이터엔지니어, DBA 외 수정일 24/08/22","메타빌드(주)
기업정보"
"R&D 개발 신입 모집합니다(정규직, python, node.js)",내일마감,"서울 중구
신입
초대졸↑
정규직
2,800 만원","Python, 머신러닝, 백엔드/서버개발, 메타버스, 풀스택 외 수정일 24/08/27","(주)제트플로우
기업정보"
백앤드 파이썬 개발자,오늘마감,"서울 강남구
신입·경력
학력무관
정규직","Python, 백엔드/서버개발, 정보보안, 네트워크, 빅데이터 외 수정일 24/08/06","(주)쿼드마이너
기업정보"
"Platform 개발자(Web, Python)",~ 09/29(일),"서울전체
신입·경력
학력무관
정규직","Python, 딥러닝, 머신러닝, 웹개발, 프론트엔드 외 등록일 24/08/21","(주)비스텔리젼스
기업정보"
파이썬 프로그램 개발자,내일마감,"서울전체
신입·경력
초대졸↑
정규직","Python, Linux, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외 등록일 24/09/05","(주)뉴로다임
기업정보"
"[비스텔리젼스] Web, Python 개발자 (신입 가능)",~ 10/04(금),"서울 서초구
경력무관
학력무관
정규직","Python, 솔루션, Docker, Kafka, PostgreSQL 외 등록일 24/08/19","(주)비스텔리젼스
기업정보"
Python 개발 연구원 채용,채용시,"서울 강남구
경력2년↑
대졸↑
정규직","Python, 솔루션, S/W, Pytorch, Tensorflow 외 수정일 24/09/10","(주)엑스오비스
기업정보"
"[신입/경력] 온라인 광고 플랫폼 개발 (Python, Django)",상시채용,"서울 영등포구
신입
초대졸↑
정규직
3,300 만원","Python, 웹개발, 백엔드/서버개발, S/W, Django 외 수정일 24/09/13","(주)니트머스
기업정보"
[AOX Korea] Python / C++ Engineer(신입),~ 10/09(수),"서울 강남구
신입
대졸↑
정규직","Python, C++, 솔루션, C언어, 네트워크 외 등록일 24/07/26","유한회사에이오엑스코리아
기업정보"
Python 백엔드 경력자(바이낸스 거래소 오토봇 개발 경험자),채용시,"서울 송파구
경력
학력무관
정규직","Python, 백엔드/서버개발, Django, MongoDB, MySQL 외 수정일 24/09/06","블록스퀘어서울
기업정보"
[서울시 지원] 파이썬 기반 개발자 입문과정 훈련생 모집,~ 10/04(금),"서울전체
경력무관
학력무관
교육생","C++, Java, 웹개발, 백엔드/서버개발, 기술지원 외 수정일 24/08/12","동대문여성인력개발센터
기업정보"
기획연구 및 python 활용 빅데이터 분석,오늘마감,"서울 강서구
경력무관
대졸↑
정규직·인턴직","Python, Linux, 쉘스크립트, 기술연구, 정책연구 외 등록일 24/09/02","지씨에스솔루션(주)
기업정보"
"[데이터누리] 데이터 관련 파이썬, NODE-JS, JAVA 경력자 모집",~ 10/02(수),"서울전체
경력 5~10년
학력무관
정규직","Python, Java, Linux, 웹개발, 앱개발 외 수정일 24/08/19","(주)데이터누리
기업정보"
R&D 개발자(Python/React) 채용 - 정규직,~ 09/30(월),"서울 강남구
경력
대졸↑
정규직","Python, 웹개발, 백엔드/서버개발, 앱개발, R&D 외 등록일 24/08/28","마젤원(주)
기업정보"
[(주)뷰브레인헬스케어] 파이썬 풀스택 개발자 채용,~ 09/27(금),"서울 강남구
경력 4~6년
대졸↑
정규직","Python, AWS, 솔루션, 머신러닝, CSS 외 등록일 24/08/13","(주)뷰브레인헬스케어
기업정보"
"AI 개발(Python), 데이터분석 및 사업 기획 모집",~ 10/12(토),"서울 강남구
신입·경력
대졸↑
정규직","Python, 딥러닝, 머신러닝, 데이터분석가, 빅데이터 외 등록일 24/09/19","(주)마크클라우드
기업정보"
생성형 AI 통합 콘텐츠제작 플랫폼 데이터엔지니어(python)채용,~ 11/18(월),"서울 강남구
신입·경력
학력무관
정규직","Python, C++, Java, AWS, Linux 외 등록일 24/09/04","(주)빅링크
기업정보"
[이투스에듀] AI융합연구소 Python 개발자 경력직 채용,~ 09/30(월),"서울전체
경력 3~6년
학력무관
정규직","Python, 딥러닝, AWS, 솔루션, 웹개발 외 수정일 24/09/02","이투스에듀(주)
이투스교육
기업정보"
Python 개발자,~ 09/30(월),"서울전체
경력 4~7년
학력무관
정규직","Python, AWS, 솔루션, 머신러닝, 웹개발 외 등록일 24/09/06","(주)버블콘
기업정보"
[재택근무] REACT · PHP · PYTHON 개발자 채용,~ 10/11(금),"서울 양천구
경력3년↑
초대졸↑
정규직","Python, 딥러닝, AWS, 솔루션, 머신러닝 외 수정일 24/09/20","행복쇼핑(주)
기업정보"
Python 개발자 모집,~ 09/28(토),"서울전체
경력 2~20년
학력무관
정규직","Python, C++, 웹개발, 백엔드/서버개발, 프론트엔드 외 등록일 24/09/13","(주)애드크림
기업정보"
국가연구과제 SI 개발자 모집(Java/Python/React/SpringBoot),~ 10/04(금),"서울 강남구
경력 5~18년
초대졸↑
정규직·계약직","Python, Java, 웹개발, Javascript, React 외 수정일 24/09/04","(주)케파스
기업정보"
Python BackEnd Developer,~ 10/01(화),"서울전체
경력 5~20년
대졸↑
정규직","Python, AWS, 머신러닝, 웹개발, 백엔드/서버개발 외 등록일 24/08/22","(주)에이젠글로벌
기업정보"
Back-End Engineer (Python/Django),내일마감,"서울전체
경력 2~5년
학력무관
정규직","Python, AWS, 웹개발, 백엔드/서버개발, 인프라 외 등록일 24/09/06","(주)뮤즈라이브
기업정보"
Python Back-end Engineer,~ 10/06(일),"서울전체
경력 3~10년
학력무관
정규직","Python, 딥러닝, AWS, 웹개발, 백엔드/서버개발 외 등록일 24/03/20","올거나이즈코리아(주)
기업정보"
마스코리아주식회사 Python 시스템개발자 경력 채용,상시채용,"서울 강남구
경력
초대졸↑
정규직","Python, 딥러닝, IT컨설팅, 전자 등록일 24/08/12","마스코리아(주)
기업정보"
[(주)아이젝스] Mac Agent 파이썬 개발자 채용 공고,~ 10/11(금),"서울 금천구
경력2년↑
초대졸↑
정규직","Python, MacOS, 네트워크, 솔루션업체, 소프트웨어개발 등록일 24/08/30","(주)아이젝스
기업정보"
AI 서비스 연구 개발 - 자연어처리(NLP)/Python 엔진 개발,~ 09/30(월),"서울 종로구
경력 1~3년
학력무관
정규직","Python, 딥러닝, 머신러닝, 백엔드/서버개발, 알고리즘 외 수정일 24/09/13","아일리스프런티어(주)
고위드
기업정보"
[솔루션] 백엔드 경력 개발자 모집(python),채용시,"서울 강남구
경력3년↑
학력무관
정규직","Python, C++, Java, 솔루션, 백엔드/서버개발 외 등록일 24/09/02","조베이스(주)
기업정보"
[BLAST] 경력 백엔드 개발자 (Python / Node.js),~ 10/02(수),"서울 서초구
경력
학력무관
정규직","Python, 백엔드/서버개발, 기술지원, SI개발, Node.js 외 등록일 24/09/10","(주)블라스트
기업정보"
Python 백엔드 개발자,~ 10/10(목),"서울전체
경력 3~7년
학력무관
정규직","Python, AWS, 웹개발, 백엔드/서버개발, 프론트엔드 외 등록일 24/09/12","(주)펫박스
기업정보"
이커머스 솔루션 Python Backend 개발자,~ 10/11(금),"서울전체
경력 2~7년
학력무관
정규직","Python, AWS, 솔루션, 웹개발, 백엔드/서버개발 외 등록일 24/09/09","(주)샐러드랩
기업정보"
Python (경력: 1년 이상) 개발자 채용,~ 10/05(토),"서울 송파구
경력 1~6년
학력무관
정규직·계약직","Python, 딥러닝, AWS, 머신러닝, 유지보수 외 등록일 24/09/12","(주)미니레코드
기업정보"
백엔드 개발자 (python),상시채용,"서울전체
경력 4~8년
대졸↑
정규직","Python, AWS, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외 수정일 24/08/28","(주)피알앤디컴퍼니
기업정보"
Python 개발자,~ 09/26(목),"서울전체
경력 1~6년
학력무관
정규직","Python, 딥러닝, AWS, 머신러닝, 웹개발 외 등록일 24/09/12","(주)미니레코드
기업정보"
[ZEST] AI 기반 Saas 솔루션 / 백엔드(Python) 개발자,~ 10/11(금),"서울 성동구
경력 2~6년
학력무관
정규직","Python, AWS, 솔루션, 백엔드/서버개발, Django 외 수정일 24/09/19","제스트주식회사
기업정보"
Python application & Algorithm 개발자,채용시,"서울전체
경력 2~10년
석사↑
정규직","Python, 딥러닝, Linux, 머신러닝, 데이터분석가 외 등록일 24/09/04","(주)메디픽셀
기업정보"
"[AI디지털플랫폼팀]웹개발자(Python, React, 경력 5년 이상) 경력직 채용",~ 10/03(목),"서울전체
경력 5~15년
학력무관
정규직","Python, 솔루션, 머신러닝, 웹개발, 백엔드/서버개발 외 등록일 24/09/13","(주)이노룰스
기업정보
공고 모아보기 +"
2024 하반기 KAI 신입사원 공개채용(인공지능),~ 09/26(목),"서울 중구
신입
대졸↑
정규직","Python, C++, 빅데이터, 알고리즘, NLP(자연어처리) 외 수정일 24/09/03","한국항공우주산업(주)
한국항공우주산업
기업정보"
[인공지능/데이터 분석] 개발자 채용,~ 10/08(화),"서울전체
경력 1~3년
대졸↑
정규직","Python, C++, Java, 딥러닝, AWS 외 수정일 24/09/09","아타드(주)
기업정보"
AI 솔루션 개발 리더 팀장/ 팀원 모집,~ 09/27(금),"서울 송파구
신입·경력
초대졸↑
정규직","Python, 솔루션, 데이터분석가, 데이터엔지니어, 빅데이터 외 수정일 24/08/28","(주)스몰머신즈
기업정보"
비전 검사 시스템 프로그램 개발자 신입/경력 사원 모집,상시채용,"서울 강서구
경력무관
초대졸↑
정규직","Python, C++, 솔루션, 백엔드/서버개발, 컴퓨터비전 외 등록일 24/09/02","(주)씨에이이테크놀러지
기업정보"
[에코마케팅] 데이터 분석가(DA) 신입 채용,오늘마감,"서울 송파구
신입
대졸↑
정규직
4,500 만원","C++, AWS, 데이터분석가, QA/테스터, 데이터라벨링 외 등록일 24/09/13","(주)에코마케팅
에코마케팅
기업정보"
2024년 하반기 어드밴텍케이알㈜ 신입/경력 인재 채용,~ 09/22(일),"서울전체
신입·경력
학력무관
정규직","Python, C++, Java, Linux, 솔루션 외 수정일 24/08/23","어드밴텍케이알(주)
기업정보"
KB데이타시스템(KB금융그룹 IT계열사) 각 부문 신입 및 경력사원 모집,~ 09/29(일),"서울전체
신입·경력
학력무관
정규직","Python, C++, Java, AWS, Linux 외 수정일 24/09/19","(주)케이비데이타시스템
KB금융
기업정보"
웹프로그래머 채용,상시채용,"서울 마포구
경력무관
고졸↑
정규직","Python, Java, 웹개발, 백엔드/서버개발, ASP 외 등록일 24/09/19","(주)셀메이트
기업정보"
생성형AI기반 웹서비스 개발자 채용(신입),~ 10/19(토),"서울 금천구
신입
대졸↑
정규직
3,200 만원","Python, 솔루션, 웹개발, 프론트엔드, 반응형웹 외 수정일 24/09/19","(주)지피티코리아
기업정보"
[코스닥기업] 2024년 신입사원 채용,~ 09/30(월),"서울 강남구
신입
대졸↑
정규직","Python, Java, 솔루션, 웹개발, 백엔드/서버개발 외 수정일 24/09/19","(주)비아이매트릭스
기업정보"
[어니컴(주)] 데이터 분석가 신입/경력 모집,내일마감,"서울 용산구
경력무관
대졸↑
정규직","Python, 데이터분석가, 빅데이터, AI(인공지능), R 외 등록일 24/08/22","어니컴(주)
기업정보"
환경분야 솔루션 개발 신입/경력직 모집합니다,~ 10/04(금),"서울 성동구
경력무관
학력무관
정규직·계약직","Python, Java, 솔루션, 웹개발, 백엔드/서버개발 외 등록일 24/09/04","(주)아로텍
기업정보"
빅데이터 와 인공지능 AI 프로그램 개발자 모십니다.,~ 10/18(금),"서울 금천구
경력무관
대졸↑
정규직","Python, Java, 딥러닝, 머신러닝, 데이터분석가 외 등록일 24/09/18","(주)더원테크
기업정보"
진에어(JinAir) 2024년 IT인력 상시 채용,상시채용,"서울 강서구
경력무관
대졸↑
정규직","Python, AWS, 데이터분석가, QA/테스터, DW 외 수정일 24/08/23","(주)진에어
한진
기업정보"
워커힐 IT팀 데이터 분석 및 AI 담당자 채용,오늘마감,"서울 광진구
경력무관
대졸↑
기간제·계약직","Python, 머신러닝, 데이터분석가, 데이터엔지니어, Azure 외 수정일 24/09/12","SK네트웍스(주)
에스케이
기업정보"
ITEASY 시스템 개발팀 신입&경력 채용,~ 10/11(금),"서울 서초구
경력무관
대졸↑
정규직","Python, Java, Linux, 웹개발, 백엔드/서버개발 외 등록일 24/08/12","(주)아이티이지
아이티이지
기업정보"
한화시스템 데이터센터 개발직군 경력사원 채용,~ 09/30(월),"서울전체
경력
학력무관
정규직·계약직","Python, AWS, Linux, 솔루션, 보안컨설팅 외 수정일 24/09/12","한화시스템(주)
한화
기업정보"
[신입] 게임 서버/클라이언트 개발자,~ 10/18(금),"서울 서초구
신입
학력무관
정규직
4,440 만원","Python, C++, Java, Linux, 웹개발 외 수정일 24/08/19","(주)이스트게임즈
이스트소프트
기업정보"
[넛지헬스케어] 백엔드개발 채용전환형 인턴,~ 09/28(토),"서울 강남구
신입
학력무관
인턴직","Python, Java, AWS, 솔루션, 웹개발 외 등록일 24/07/30","넛지헬스케어(주)
스펙업애드
기업정보"
[부산/서울] (주)365mc 의료 Data AI 사이언티스트 채용,~ 09/30(월),"서울전체
경력무관
대졸↑
정규직","Python, C++, 머신러닝, 데이터분석가, 빅데이터 외 수정일 24/08/22","(주)삼육오엠씨네트웍스
삼육오엠씨
기업정보"
앱/웹 개발자 & 백엔드 개발자 각 직군 모집,~ 09/30(월),"서울 강남구
경력무관
대졸↑
정규직","Python, Java, AWS, 웹개발, 데이터분석가 외 수정일 24/09/03","(주)로그엔코딩
기업정보"
[클라우드네트웍스] 빅데이터 솔루션 엔지니어 모집 (신입),오늘마감,"서울 강남구
신입
학력무관
정규직","Python, AWS, Linux, 솔루션, 데이터분석가 외 등록일 24/08/21","(주)클라우드네트웍스
기업정보"
Network Engineer 채용,상시채용,"서울 강남구
경력3년↑
학력무관
정규직","Python, 데이터엔지니어, 네트워크, 클라우드, C언어 외 수정일 24/05/29","현대오토에버(주)
현대자동차
기업정보"
인공지능 연구개발 담당자 모집 신입/경력 채용,채용시,"서울 강남구
경력무관
대졸↑
정규직·프리랜서","Python, 딥러닝, 솔루션, 머신러닝, 빅데이터 외 등록일 24/08/03","이모션웨이브(주)
기업정보"
아남전자(주) 시스템 및 전산업무 담당자 모집,~ 09/28(토),"서울 구로구
신입·경력
초대졸↑
정규직","Python, C++, Linux, SE(시스템엔지니어), RPA 외 등록일 24/08/29","아남전자(주)
아남
기업정보"
우리기술 SW 시험자 및 개발자 채용 공고,~ 10/13(일),"서울 마포구
신입·경력
대졸↑
정규직","Python, C++, Java, Linux, 데이터분석가 외 수정일 24/09/13","(주)우리기술
우리기술
기업정보"
백엔드 개발자 모집 공고,~ 09/30(월),"서울 금천구
경력3년↑
대졸↑
정규직","Python, Java, AWS, 백엔드/서버개발, 유지보수 외 수정일 24/09/02","(주)제이에이치솔루션
기업정보"
[에너지IT기업] 전산 관리자,~ 09/27(금),"서울전체
신입·경력
학력무관
정규직","Python, 기술지원, 보안컨설팅, 정보보안, CISO 외 수정일 24/09/20","(주)해줌
해줌
기업정보"
[모핑아이] 백엔드 개발자 채용 공고 (경력/신입),채용시,"서울 영등포구
신입·경력
대졸↑
정규직
4,000 만원","Python, AWS, 솔루션, 백엔드/서버개발, 유지보수 외 수정일 24/09/12","(주)모핑아이
기업정보"
소프트웨어 엔지니어 (백엔드 & Django 개발자),~ 10/31(목),"서울 서대문구
신입·경력
대졸↑
정규직","Python, AWS, 솔루션, 머신러닝, 웹개발 외 수정일 24/09/13","(주)도그우드에이아이
기업정보"
[이화여대 창업보육센터 / 스타트업] 소프트웨어 개발자(연구원),~ 09/25(수),"서울 서대문구
신입
대졸↑
정규직","Python, Linux, 웹개발, 백엔드/서버개발, 앱개발 외 수정일 24/09/13","(주)스키놀
기업정보"
딥러닝 엔니지어 채용,~ 10/05(토),"서울전체
신입·경력
대졸↑
정규직","Python, 딥러닝, 머신러닝, 데이터분석가, SE(시스템엔지니어) 외 수정일 24/09/05","(주)인공지능팩토리
기업정보"
[kt cloud] 2024년 IT분야 경력직 상시DB,상시채용,"서울 강남구
경력5년↑
대졸↑
정규직","Python, Java, AWS, 솔루션, 백엔드/서버개발 외 수정일 24/09/09","(주)케이티클라우드
케이티
기업정보"
[클라리파이] 기업부설연구소 시스템팀 개발자 채용,~ 09/26(목),"서울 종로구
경력무관
대졸↑
정규직·계약직","Python, C++, 딥러닝, Linux, 솔루션 외 등록일 24/09/19","(주)클라리파이
기업정보"
양자컴퓨팅 활용 신약개발 연구원 채용 (탄력근무제 가능),~ 10/11(금),"서울 영등포구
경력무관
대졸↑
정규직","Python, 딥러닝, 솔루션, 머신러닝, 데이터분석가 외 등록일 24/09/11","(주)퀀텀인텔리전스
기업정보"
대용량 트래픽 제어 엔진 개발,~ 09/23(월),"서울전체
신입·경력
대졸↑
정규직","Python, C++, Java, 웹개발, 백엔드/서버개발 외 등록일 24/08/23","(주)에스티씨랩
기업정보"
[유망 스타트업] Bioinformatician (Personal Genomics),채용시,"서울 서초구
경력무관
대졸↑
정규직","Python, Linux, 솔루션, 데이터엔지니어, R 외 수정일 24/08/28","(주)이노크라스코리아
기업정보"
연구소 개발자 채용 (학사),~ 09/30(월),"서울전체
경력무관
초대졸↑
정규직","Python, C++, 딥러닝, 솔루션, 머신러닝 외 등록일 24/09/02","아몽솔루션(주)
기업정보"
Solution Engineer,~ 09/24(화),"서울전체
신입·경력
대졸↑
정규직","Python, Linux, 머신러닝, 웹개발, SE(시스템엔지니어) 외 등록일 24/08/26","(주)에이아이트릭스
기업정보"
개발자 신입/경력 채용,~ 10/11(금),"서울 마포구
경력무관
학력무관
정규직","Python, C++, 딥러닝, 머신러닝, 신경망 외 수정일 24/09/19","(주)엠피웨이브
기업정보"
